trainable params: 1,949,696 || all params: 6,245,533,696 || trainable%: 0.031217444255383614
--> Model

--> model has 1.949696M params

train_dataset: Dataset({
    features: ['input_ids', 'labels'],
    num_rows: 1207
})
val_dataset: Dataset({
    features: ['input_ids', 'output_ids'],
    num_rows: 140
})
test_dataset: Dataset({
    features: ['input_ids', 'output_ids'],
    num_rows: 140
})
{'loss': 1.6692, 'grad_norm': 0.0, 'learning_rate': 9.958333333333334e-06, 'epoch': 0.01}
{'loss': 2.275, 'grad_norm': 0.0, 'learning_rate': 9.916666666666668e-06, 'epoch': 0.02}
{'loss': 1.9221, 'grad_norm': 0.9351527690887451, 'learning_rate': 9.875000000000001e-06, 'epoch': 0.02}
{'loss': 2.1773, 'grad_norm': 4.821675777435303, 'learning_rate': 9.833333333333333e-06, 'epoch': 0.03}
{'loss': 2.2597, 'grad_norm': 4.00554084777832, 'learning_rate': 9.791666666666666e-06, 'epoch': 0.04}
{'loss': 2.1716, 'grad_norm': 5.065603256225586, 'learning_rate': 9.75e-06, 'epoch': 0.05}
{'loss': 1.5921, 'grad_norm': 7.079160213470459, 'learning_rate': 9.708333333333333e-06, 'epoch': 0.06}
{'loss': 2.3121, 'grad_norm': 0.0, 'learning_rate': 9.666666666666667e-06, 'epoch': 0.07}
{'loss': 2.1042, 'grad_norm': 3.8692100048065186, 'learning_rate': 9.625e-06, 'epoch': 0.07}
{'loss': 1.4527, 'grad_norm': 5.993011951446533, 'learning_rate': 9.583333333333335e-06, 'epoch': 0.08}
{'eval_rouge-1': 41.640396, 'eval_rouge-2': 19.598422, 'eval_rouge-l': 30.504563999999995, 'eval_bleu-4': 0.10881691216106489, 'eval_runtime': 105.7561, 'eval_samples_per_second': 0.473, 'eval_steps_per_second': 0.047, 'epoch': 0.08}
{'loss': 1.9978, 'grad_norm': 7.972281455993652, 'learning_rate': 9.541666666666669e-06, 'epoch': 0.09}
{'loss': 2.3715, 'grad_norm': 4.780921459197998, 'learning_rate': 9.5e-06, 'epoch': 0.1}
{'loss': 1.9007, 'grad_norm': 4.361081600189209, 'learning_rate': 9.458333333333334e-06, 'epoch': 0.11}
{'loss': 1.9579, 'grad_norm': 6.58250617980957, 'learning_rate': 9.416666666666667e-06, 'epoch': 0.12}
{'loss': 2.4148, 'grad_norm': 5.658315181732178, 'learning_rate': 9.375000000000001e-06, 'epoch': 0.12}
{'loss': 2.2219, 'grad_norm': 0.0, 'learning_rate': 9.333333333333334e-06, 'epoch': 0.13}
{'loss': 2.0597, 'grad_norm': 3.2123918533325195, 'learning_rate': 9.291666666666668e-06, 'epoch': 0.14}
{'loss': 2.3106, 'grad_norm': 5.902154445648193, 'learning_rate': 9.250000000000001e-06, 'epoch': 0.15}
{'loss': 1.6756, 'grad_norm': 4.860262870788574, 'learning_rate': 9.208333333333333e-06, 'epoch': 0.16}
{'loss': 1.964, 'grad_norm': 7.7299394607543945, 'learning_rate': 9.166666666666666e-06, 'epoch': 0.17}
{'eval_rouge-1': 42.337030000000006, 'eval_rouge-2': 19.67959, 'eval_rouge-l': 31.301451999999998, 'eval_bleu-4': 0.11155339187273676, 'eval_runtime': 96.7726, 'eval_samples_per_second': 0.517, 'eval_steps_per_second': 0.052, 'epoch': 0.17}
{'loss': 2.0295, 'grad_norm': 7.132115840911865, 'learning_rate': 9.125e-06, 'epoch': 0.17}
{'loss': 2.2439, 'grad_norm': 5.558740139007568, 'learning_rate': 9.083333333333333e-06, 'epoch': 0.18}
{'loss': 1.8497, 'grad_norm': 4.36456823348999, 'learning_rate': 9.041666666666667e-06, 'epoch': 0.19}
{'loss': 1.9272, 'grad_norm': 7.259105682373047, 'learning_rate': 9e-06, 'epoch': 0.2}
{'loss': 1.738, 'grad_norm': 4.571634769439697, 'learning_rate': 8.958333333333334e-06, 'epoch': 0.21}
{'loss': 1.5112, 'grad_norm': 0.0, 'learning_rate': 8.916666666666667e-06, 'epoch': 0.22}
{'loss': 1.63, 'grad_norm': 8.368310928344727, 'learning_rate': 8.875e-06, 'epoch': 0.22}
{'loss': 1.7751, 'grad_norm': 4.817153453826904, 'learning_rate': 8.833333333333334e-06, 'epoch': 0.23}
{'loss': 1.6597, 'grad_norm': 5.079282760620117, 'learning_rate': 8.791666666666667e-06, 'epoch': 0.24}
{'loss': 1.5776, 'grad_norm': 0.0, 'learning_rate': 8.750000000000001e-06, 'epoch': 0.25}
{'eval_rouge-1': 42.073356000000004, 'eval_rouge-2': 18.226052000000003, 'eval_rouge-l': 30.169384000000004, 'eval_bleu-4': 0.10198441605622349, 'eval_runtime': 94.0555, 'eval_samples_per_second': 0.532, 'eval_steps_per_second': 0.053, 'epoch': 0.25}
{'loss': 1.8543, 'grad_norm': 0.0, 'learning_rate': 8.708333333333334e-06, 'epoch': 0.26}
{'loss': 1.6498, 'grad_norm': 7.613887310028076, 'learning_rate': 8.666666666666668e-06, 'epoch': 0.27}
{'loss': 1.5322, 'grad_norm': 4.540449142456055, 'learning_rate': 8.625000000000001e-06, 'epoch': 0.27}
{'loss': 1.8598, 'grad_norm': 0.0, 'learning_rate': 8.583333333333333e-06, 'epoch': 0.28}
{'loss': 2.1374, 'grad_norm': 5.603008270263672, 'learning_rate': 8.541666666666666e-06, 'epoch': 0.29}
{'loss': 1.6971, 'grad_norm': 6.320920467376709, 'learning_rate': 8.5e-06, 'epoch': 0.3}
{'loss': 1.6111, 'grad_norm': 6.422853469848633, 'learning_rate': 8.458333333333333e-06, 'epoch': 0.31}
{'loss': 1.5814, 'grad_norm': 6.057582378387451, 'learning_rate': 8.416666666666667e-06, 'epoch': 0.31}
{'loss': 1.5731, 'grad_norm': 0.0, 'learning_rate': 8.375e-06, 'epoch': 0.32}
{'loss': 1.617, 'grad_norm': 4.516155242919922, 'learning_rate': 8.333333333333334e-06, 'epoch': 0.33}
