trainable params: 1,949,696 || all params: 6,245,533,696 || trainable%: 0.031217444255383614
--> Model

--> model has 1.949696M params

train_dataset: Dataset({
    features: ['input_ids', 'labels'],
    num_rows: 1207
})
val_dataset: Dataset({
    features: ['input_ids', 'output_ids'],
    num_rows: 140
})
test_dataset: Dataset({
    features: ['input_ids', 'output_ids'],
    num_rows: 140
})
{'loss': 1.6689, 'grad_norm': 0.0, 'learning_rate': 9.958333333333334e-06, 'epoch': 0.01}
{'loss': 2.2744, 'grad_norm': 0.0, 'learning_rate': 9.916666666666668e-06, 'epoch': 0.02}
{'loss': 1.9209, 'grad_norm': 1.1528778076171875, 'learning_rate': 9.875000000000001e-06, 'epoch': 0.02}
{'loss': 2.1761, 'grad_norm': 5.849095821380615, 'learning_rate': 9.833333333333333e-06, 'epoch': 0.03}
{'loss': 2.2575, 'grad_norm': 4.765206336975098, 'learning_rate': 9.791666666666666e-06, 'epoch': 0.04}
{'loss': 2.1697, 'grad_norm': 6.1184983253479, 'learning_rate': 9.75e-06, 'epoch': 0.05}
{'loss': 1.588, 'grad_norm': 8.833491325378418, 'learning_rate': 9.708333333333333e-06, 'epoch': 0.06}
{'loss': 2.3074, 'grad_norm': 0.0, 'learning_rate': 9.666666666666667e-06, 'epoch': 0.07}
{'loss': 2.0961, 'grad_norm': 4.556115627288818, 'learning_rate': 9.625e-06, 'epoch': 0.07}
{'loss': 1.444, 'grad_norm': 7.233450889587402, 'learning_rate': 9.583333333333335e-06, 'epoch': 0.08}
{'eval_rouge-1': 41.92633000000001, 'eval_rouge-2': 19.918433999999998, 'eval_rouge-l': 30.844081999999993, 'eval_bleu-4': 0.11059255767683242, 'eval_runtime': 105.8801, 'eval_samples_per_second': 0.472, 'eval_steps_per_second': 0.047, 'epoch': 0.08}
{'loss': 1.9902, 'grad_norm': 9.711962699890137, 'learning_rate': 9.541666666666669e-06, 'epoch': 0.09}
{'loss': 2.36, 'grad_norm': 5.811522006988525, 'learning_rate': 9.5e-06, 'epoch': 0.1}
{'loss': 1.8892, 'grad_norm': 5.2690043449401855, 'learning_rate': 9.458333333333334e-06, 'epoch': 0.11}
{'loss': 1.9409, 'grad_norm': 8.146331787109375, 'learning_rate': 9.416666666666667e-06, 'epoch': 0.12}
{'loss': 2.3936, 'grad_norm': 6.696125507354736, 'learning_rate': 9.375000000000001e-06, 'epoch': 0.12}
{'loss': 2.1912, 'grad_norm': 0.0, 'learning_rate': 9.333333333333334e-06, 'epoch': 0.13}
{'loss': 2.0309, 'grad_norm': 3.7835469245910645, 'learning_rate': 9.291666666666668e-06, 'epoch': 0.14}
{'loss': 2.2786, 'grad_norm': 7.095945358276367, 'learning_rate': 9.250000000000001e-06, 'epoch': 0.15}
{'loss': 1.6492, 'grad_norm': 6.0189385414123535, 'learning_rate': 9.208333333333333e-06, 'epoch': 0.16}
{'loss': 1.9331, 'grad_norm': 9.445542335510254, 'learning_rate': 9.166666666666666e-06, 'epoch': 0.17}
{'eval_rouge-1': 41.957284, 'eval_rouge-2': 19.131914000000002, 'eval_rouge-l': 31.108249999999998, 'eval_bleu-4': 0.10716601195866612, 'eval_runtime': 101.4243, 'eval_samples_per_second': 0.493, 'eval_steps_per_second': 0.049, 'epoch': 0.17}
{'loss': 1.9824, 'grad_norm': 8.490850448608398, 'learning_rate': 9.125e-06, 'epoch': 0.17}
{'loss': 2.1938, 'grad_norm': 6.5261454582214355, 'learning_rate': 9.083333333333333e-06, 'epoch': 0.18}
{'loss': 1.8116, 'grad_norm': 5.164811611175537, 'learning_rate': 9.041666666666667e-06, 'epoch': 0.19}
{'loss': 1.8756, 'grad_norm': 9.192394256591797, 'learning_rate': 9e-06, 'epoch': 0.2}
{'loss': 1.6922, 'grad_norm': 5.177894115447998, 'learning_rate': 8.958333333333334e-06, 'epoch': 0.21}
{'loss': 1.4805, 'grad_norm': 0.0, 'learning_rate': 8.916666666666667e-06, 'epoch': 0.22}
{'loss': 1.588, 'grad_norm': 9.603100776672363, 'learning_rate': 8.875e-06, 'epoch': 0.22}
{'loss': 1.7261, 'grad_norm': 5.537320137023926, 'learning_rate': 8.833333333333334e-06, 'epoch': 0.23}
{'loss': 1.6063, 'grad_norm': 5.965521812438965, 'learning_rate': 8.791666666666667e-06, 'epoch': 0.24}
{'loss': 1.5347, 'grad_norm': 0.0, 'learning_rate': 8.750000000000001e-06, 'epoch': 0.25}
{'eval_rouge-1': 43.11944, 'eval_rouge-2': 19.713802, 'eval_rouge-l': 32.04537800000001, 'eval_bleu-4': 0.11597404821024006, 'eval_runtime': 95.9251, 'eval_samples_per_second': 0.521, 'eval_steps_per_second': 0.052, 'epoch': 0.25}
{'loss': 1.8081, 'grad_norm': 0.0, 'learning_rate': 8.708333333333334e-06, 'epoch': 0.26}
