trainable params: 1,949,696 || all params: 6,245,533,696 || trainable%: 0.031217444255383614
--> Model

--> model has 1.949696M params

train_dataset: Dataset({
    features: ['input_ids', 'labels'],
    num_rows: 1207
})
val_dataset: Dataset({
    features: ['input_ids', 'output_ids'],
    num_rows: 140
})
test_dataset: Dataset({
    features: ['input_ids', 'output_ids'],
    num_rows: 140
})
{'loss': 1.6698, 'grad_norm': 0.0, 'learning_rate': 9.958333333333334e-06, 'epoch': 0.01}
{'loss': 2.2776, 'grad_norm': 0.0, 'learning_rate': 9.916666666666668e-06, 'epoch': 0.02}
{'loss': 1.9273, 'grad_norm': 0.43341004848480225, 'learning_rate': 9.875000000000001e-06, 'epoch': 0.02}
{'loss': 2.1855, 'grad_norm': 2.2296836376190186, 'learning_rate': 9.833333333333333e-06, 'epoch': 0.03}
{'loss': 2.2735, 'grad_norm': 1.8478676080703735, 'learning_rate': 9.791666666666666e-06, 'epoch': 0.04}
{'loss': 2.1889, 'grad_norm': 2.386401653289795, 'learning_rate': 9.75e-06, 'epoch': 0.05}
{'loss': 1.6102, 'grad_norm': 3.447824001312256, 'learning_rate': 9.708333333333333e-06, 'epoch': 0.06}
{'loss': 2.3358, 'grad_norm': 0.0, 'learning_rate': 9.666666666666667e-06, 'epoch': 0.07}
{'loss': 2.1333, 'grad_norm': 1.7965432405471802, 'learning_rate': 9.625e-06, 'epoch': 0.07}
{'loss': 1.4822, 'grad_norm': 2.9239771366119385, 'learning_rate': 9.583333333333335e-06, 'epoch': 0.08}
{'loss': 2.0393, 'grad_norm': 3.8088936805725098, 'learning_rate': 9.541666666666669e-06, 'epoch': 0.09}
{'loss': 2.4191, 'grad_norm': 2.400202512741089, 'learning_rate': 9.5e-06, 'epoch': 0.1}
{'loss': 1.9471, 'grad_norm': 2.1535584926605225, 'learning_rate': 9.458333333333334e-06, 'epoch': 0.11}
{'loss': 2.0164, 'grad_norm': 3.281416893005371, 'learning_rate': 9.416666666666667e-06, 'epoch': 0.12}
{'loss': 2.4938, 'grad_norm': 2.992504358291626, 'learning_rate': 9.375000000000001e-06, 'epoch': 0.12}
{'loss': 2.3146, 'grad_norm': 0.0, 'learning_rate': 9.333333333333334e-06, 'epoch': 0.13}
{'loss': 2.1493, 'grad_norm': 1.6175590753555298, 'learning_rate': 9.291666666666668e-06, 'epoch': 0.14}
{'loss': 2.4052, 'grad_norm': 2.930971622467041, 'learning_rate': 9.250000000000001e-06, 'epoch': 0.15}
{'loss': 1.7649, 'grad_norm': 2.4592833518981934, 'learning_rate': 9.208333333333333e-06, 'epoch': 0.16}
{'loss': 2.0558, 'grad_norm': 3.853519916534424, 'learning_rate': 9.166666666666666e-06, 'epoch': 0.17}
{'loss': 2.16, 'grad_norm': 3.7447996139526367, 'learning_rate': 9.125e-06, 'epoch': 0.17}
{'loss': 2.3831, 'grad_norm': 2.979428291320801, 'learning_rate': 9.083333333333333e-06, 'epoch': 0.18}
{'loss': 1.9701, 'grad_norm': 2.3349881172180176, 'learning_rate': 9.041666666666667e-06, 'epoch': 0.19}
{'loss': 2.0686, 'grad_norm': 3.4940543174743652, 'learning_rate': 9e-06, 'epoch': 0.2}
{'loss': 1.8616, 'grad_norm': 2.5188589096069336, 'learning_rate': 8.958333333333334e-06, 'epoch': 0.21}
{'loss': 1.6067, 'grad_norm': 0.0, 'learning_rate': 8.916666666666667e-06, 'epoch': 0.22}
{'loss': 1.7608, 'grad_norm': 4.887031555175781, 'learning_rate': 8.875e-06, 'epoch': 0.22}
{'loss': 1.9239, 'grad_norm': 2.735694408416748, 'learning_rate': 8.833333333333334e-06, 'epoch': 0.23}
{'loss': 1.8176, 'grad_norm': 3.0263218879699707, 'learning_rate': 8.791666666666667e-06, 'epoch': 0.24}
{'loss': 1.7124, 'grad_norm': 0.0, 'learning_rate': 8.750000000000001e-06, 'epoch': 0.25}
{'eval_rouge-1': 42.432968, 'eval_rouge-2': 19.39284, 'eval_rouge-l': 31.237372, 'eval_bleu-4': 0.11260641657535726, 'eval_runtime': 72.0063, 'eval_samples_per_second': 0.694, 'eval_steps_per_second': 0.069, 'epoch': 0.25}
{'loss': 2.0065, 'grad_norm': 0.0, 'learning_rate': 8.708333333333334e-06, 'epoch': 0.26}
{'loss': 1.7824, 'grad_norm': 4.440909385681152, 'learning_rate': 8.666666666666668e-06, 'epoch': 0.27}
{'loss': 1.6749, 'grad_norm': 2.7330923080444336, 'learning_rate': 8.625000000000001e-06, 'epoch': 0.27}
{'loss': 2.009, 'grad_norm': 0.0, 'learning_rate': 8.583333333333333e-06, 'epoch': 0.28}
{'loss': 2.304, 'grad_norm': 3.1744332313537598, 'learning_rate': 8.541666666666666e-06, 'epoch': 0.29}
{'loss': 1.8406, 'grad_norm': 3.8599796295166016, 'learning_rate': 8.5e-06, 'epoch': 0.3}
{'loss': 1.759, 'grad_norm': 3.918219804763794, 'learning_rate': 8.458333333333333e-06, 'epoch': 0.31}
{'loss': 1.7519, 'grad_norm': 3.7096948623657227, 'learning_rate': 8.416666666666667e-06, 'epoch': 0.31}
{'loss': 1.7039, 'grad_norm': 0.0, 'learning_rate': 8.375e-06, 'epoch': 0.32}
{'loss': 1.7774, 'grad_norm': 2.6280860900878906, 'learning_rate': 8.333333333333334e-06, 'epoch': 0.33}
{'loss': 1.736, 'grad_norm': 3.250152349472046, 'learning_rate': 8.291666666666667e-06, 'epoch': 0.34}
{'loss': 1.7197, 'grad_norm': 3.9392964839935303, 'learning_rate': 8.25e-06, 'epoch': 0.35}
{'loss': 1.5434, 'grad_norm': 4.604804515838623, 'learning_rate': 8.208333333333334e-06, 'epoch': 0.36}
{'loss': 1.7896, 'grad_norm': 4.217493534088135, 'learning_rate': 8.166666666666668e-06, 'epoch': 0.36}
{'loss': 1.8436, 'grad_norm': 4.5453386306762695, 'learning_rate': 8.125000000000001e-06, 'epoch': 0.37}
{'loss': 1.7519, 'grad_norm': 4.4679341316223145, 'learning_rate': 8.083333333333334e-06, 'epoch': 0.38}
{'loss': 1.7257, 'grad_norm': 3.0964789390563965, 'learning_rate': 8.041666666666668e-06, 'epoch': 0.39}
{'loss': 1.5089, 'grad_norm': 4.438508033752441, 'learning_rate': 8.000000000000001e-06, 'epoch': 0.4}
{'loss': 1.4836, 'grad_norm': 0.0, 'learning_rate': 7.958333333333333e-06, 'epoch': 0.41}
{'loss': 2.086, 'grad_norm': 2.1232542991638184, 'learning_rate': 7.916666666666667e-06, 'epoch': 0.41}
{'loss': 1.1129, 'grad_norm': 2.3938968181610107, 'learning_rate': 7.875e-06, 'epoch': 0.42}
{'loss': 1.6916, 'grad_norm': 0.0, 'learning_rate': 7.833333333333333e-06, 'epoch': 0.43}
{'loss': 1.7124, 'grad_norm': 2.167120933532715, 'learning_rate': 7.791666666666667e-06, 'epoch': 0.44}
{'loss': 1.1799, 'grad_norm': 5.581443786621094, 'learning_rate': 7.75e-06, 'epoch': 0.45}
{'loss': 1.3618, 'grad_norm': 4.458645343780518, 'learning_rate': 7.708333333333334e-06, 'epoch': 0.46}
{'loss': 1.5487, 'grad_norm': 0.0, 'learning_rate': 7.666666666666667e-06, 'epoch': 0.46}
{'loss': 1.692, 'grad_norm': 3.288119077682495, 'learning_rate': 7.625e-06, 'epoch': 0.47}
{'loss': 1.7334, 'grad_norm': 4.566747188568115, 'learning_rate': 7.583333333333333e-06, 'epoch': 0.48}
