trainable params: 1,949,696 || all params: 6,245,533,696 || trainable%: 0.031217444255383614
--> Model

--> model has 1.949696M params

train_dataset: Dataset({
    features: ['input_ids', 'labels'],
    num_rows: 1207
})
val_dataset: Dataset({
    features: ['input_ids', 'output_ids'],
    num_rows: 140
})
test_dataset: Dataset({
    features: ['input_ids', 'output_ids'],
    num_rows: 140
})
{'loss': 1.6685, 'grad_norm': 0.0, 'learning_rate': 9.958333333333334e-06, 'epoch': 0.01}
{'loss': 2.2705, 'grad_norm': 0.0, 'learning_rate': 9.916666666666668e-06, 'epoch': 0.02}
{'loss': 1.9144, 'grad_norm': 1.874037265777588, 'learning_rate': 9.875000000000001e-06, 'epoch': 0.02}
{'loss': 2.1656, 'grad_norm': 9.470090866088867, 'learning_rate': 9.833333333333333e-06, 'epoch': 0.03}
{'loss': 2.2382, 'grad_norm': 7.781499862670898, 'learning_rate': 9.791666666666666e-06, 'epoch': 0.04}
{'loss': 2.1479, 'grad_norm': 10.052979469299316, 'learning_rate': 9.75e-06, 'epoch': 0.05}
{'loss': 1.5656, 'grad_norm': 14.250509262084961, 'learning_rate': 9.708333333333333e-06, 'epoch': 0.06}
{'loss': 2.2772, 'grad_norm': 0.0, 'learning_rate': 9.666666666666667e-06, 'epoch': 0.07}
{'loss': 2.0567, 'grad_norm': 7.482551574707031, 'learning_rate': 9.625e-06, 'epoch': 0.07}
{'loss': 1.4063, 'grad_norm': 11.706924438476562, 'learning_rate': 9.583333333333335e-06, 'epoch': 0.08}
{'eval_rouge-1': 41.613037999999996, 'eval_rouge-2': 19.487672000000003, 'eval_rouge-l': 30.784732000000005, 'eval_bleu-4': 0.10761823125705368, 'eval_runtime': 105.8463, 'eval_samples_per_second': 0.472, 'eval_steps_per_second': 0.047, 'epoch': 0.08}
{'loss': 1.9391, 'grad_norm': 15.273787498474121, 'learning_rate': 9.541666666666669e-06, 'epoch': 0.09}
{'loss': 2.3042, 'grad_norm': 8.669076919555664, 'learning_rate': 9.5e-06, 'epoch': 0.1}
{'loss': 1.8313, 'grad_norm': 8.077884674072266, 'learning_rate': 9.458333333333334e-06, 'epoch': 0.11}
